image,expected,predicted,raw_answer
010009.jpg,7,7,7
010013.jpg,3,4,4
010018.jpg,9,7,7
010020.jpg,7,6,6
010024.jpg,4,5,5
010027.jpg,4,4,4
010030.jpg,3,4,4
010034.jpg,6,6,6
010044.jpg,8,8,8
010046.jpg,7,7,7
010052.jpg,7,7,7
010062.jpg,5,6,6
010069.jpg,4,4,4
010070.jpg,6,5,5
010071.jpg,3,3,3
010074.jpg,3,3,3
010080.jpg,6,6,6
010081.jpg,4,4,4
010085.jpg,8,6,6
010091.jpg,2,2,2
010094.jpg,7,7,7
010096.jpg,5,4,4
010097.jpg,2,2,2
010100.jpg,4,4,4
010101.jpg,2,2,2
010110.jpg,5,6,6
010112.jpg,7,7,7
010114.jpg,2,3,3
010121.jpg,1,1,1
010123.jpg,1,1,1
010133.jpg,7,8,8
010135.jpg,5,6,6
010136.jpg,6,6,6
010140.jpg,3,5,5
010145.jpg,2,2,2
010150.jpg,2,2,2
010151.jpg,4,4,4
010152.jpg,2,4,4
010153.jpg,4,4,4
010158.jpg,6,6,6
010167.jpg,4,5,5
010169.jpg,6,6,6
010176.jpg,5,5,5
010178.jpg,4,3,3
010180.jpg,2,2,2
010181.jpg,4,4,4
010185.jpg,5,6,6
010189.jpg,2,2,2
010192.jpg,6,5,5
010193.jpg,2,3,3
010197.jpg,2,2,2
010199.jpg,3,3,3
010200.jpg,5,4,4
010204.jpg,5,5,5
010206.jpg,1,2,2
010212.jpg,3,4,4
010215.jpg,5,4,4
010221.jpg,6,4,4
010228.jpg,3,3,3
010231.jpg,2,3,3
010234.jpg,2,2,2
010239.jpg,5,6,6
010240.jpg,4,4,4
010241.jpg,3,3,3
010249.jpg,7,8,8
010253.jpg,5,6,6
010256.jpg,5,6,6
010272.jpg,2,2,2
010276.jpg,2,2,2
010281.jpg,4,3,3
010289.jpg,3,5,5
010291.jpg,3,3,3
010292.jpg,9,7,7
010293.jpg,2,2,2
010298.jpg,3,5,5
010299.jpg,4,5,5
010300.jpg,1,1,1
010307.jpg,2,2,2
010310.jpg,7,7,7
010311.jpg,1,1,1
010316.jpg,3,3,3
010317.jpg,1,1,1
010320.jpg,4,3,3
010324.jpg,4,4,4
010352.jpg,3,3,3
010356.jpg,5,5,5
010368.jpg,3,3,3
010369.jpg,5,5,5
010373.jpg,4,5,5
010375.jpg,2,2,2
010378.jpg,4,5,5
010389.jpg,4,5,5
010395.jpg,4,4,4
010404.jpg,6,6,6
010412.jpg,3,3,3
010416.jpg,3,3,3
010417.jpg,5,5,5
010418.jpg,5,4,4
010431.jpg,3,4,4
010434.jpg,8,10,10
010440.jpg,5,4,4
010445.jpg,4,6,6
010452.jpg,10,8,8
010459.jpg,2,2,2
010463.jpg,3,3,3
010465.jpg,4,4,4
010467.jpg,6,9,9
010470.jpg,3,3,3
010473.jpg,3,3,3
010474.jpg,7,4,4
010480.jpg,3,3,3
010488.jpg,3,3,3
010497.jpg,2,2,2
010499.jpg,2,2,2
010503.jpg,3,2,2
010507.jpg,4,4,4
010513.jpg,4,5,5
010529.jpg,7,7,7
010532.jpg,5,5,5
010535.jpg,5,6,6
010536.jpg,4,4,4
010537.jpg,3,3,3
010540.jpg,5,5,5
010546.jpg,2,2,2
010553.jpg,8,8,8
010557.jpg,5,5,5
010563.jpg,3,4,4
010567.jpg,5,5,5
010569.jpg,4,4,4
010570.jpg,7,6,6
010579.jpg,6,6,6
010584.jpg,10,7,7
010586.jpg,6,6,6
010588.jpg,4,5,5
010591.jpg,1,2,2
010596.jpg,2,2,2
010598.jpg,2,2,2
020002.jpg,3,4,4
020006.jpg,1,1,1
020025.jpg,3,3,3
020029.jpg,4,3,3
020030.jpg,5,6,6
020037.jpg,1,1,1
020046.jpg,3,4,4
020054.jpg,1,2,2
020059.jpg,1,1,1
020061.jpg,1,1,1
020072.jpg,3,4,4
020074.jpg,1,1,1
020080.jpg,4,5,5
020081.jpg,1,1,1
020087.jpg,1,1,1
020095.jpg,2,3,3
020097.jpg,1,1,1
020109.jpg,1,1,1
020122.jpg,1,2,2
020125.jpg,5,4,4
020135.jpg,1,2,2
020138.jpg,1,1,1
020146.jpg,1,2,2
020150.jpg,5,6,6
020160.jpg,2,3,3
020163.jpg,1,1,1
020167.jpg,1,1,1
020168.jpg,2,2,2
020169.jpg,1,1,1
020180.jpg,1,2,2
020191.jpg,4,4,4
020193.jpg,1,2,2
020194.jpg,1,1,1
020198.jpg,1,2,2
020202.jpg,2,2,2
020204.jpg,6,6,6
020206.jpg,3,4,4
020207.jpg,4,3,3
020209.jpg,3,3,3
020211.jpg,3,3,3
020215.jpg,2,2,2
020216.jpg,2,3,3
020232.jpg,6,6,6
020233.jpg,1,2,2
020237.jpg,4,4,4
020242.jpg,1,1,1
020246.jpg,1,1,1
020247.jpg,1,1,1
020260.jpg,4,4,4
020263.jpg,1,2,2
020275.jpg,4,3,3
020281.jpg,4,4,4
020283.jpg,2,3,3
020285.jpg,4,3,3
020293.jpg,3,3,3
020297.jpg,2,2,2
020300.jpg,1,2,2
020311.jpg,3,3,3
020315.jpg,3,4,4
020319.jpg,3,3,3
020330.jpg,1,1,1
020335.jpg,2,2,2
020341.jpg,2,2,2
020348.jpg,1,1,1
020353.jpg,1,2,2
020364.jpg,8,7,7
020368.jpg,2,2,2
020373.jpg,2,4,4
020398.jpg,3,3,3
020400.jpg,3,4,4
020403.jpg,2,1,1
020405.jpg,1,2,2
020414.jpg,2,2,2
020422.jpg,1,2,2
020424.jpg,3,4,4
020428.jpg,2,2,2
020429.jpg,3,4,4
020431.jpg,8,7,7
020433.jpg,1,2,2
020436.jpg,1,2,2
020438.jpg,1,1,1
020442.jpg,6,4,4
020445.jpg,2,3,3
020446.jpg,1,1,1
020448.jpg,1,2,2
020451.jpg,5,7,7
020456.jpg,3,3,3
020459.jpg,1,1,1
020460.jpg,2,2,2
020461.jpg,1,2,2
020465.jpg,1,1,1
020477.jpg,1,1,1
020479.jpg,1,1,1
020488.jpg,3,4,4
020494.jpg,1,2,2
020498.jpg,2,4,4
030006.jpg,4,3,3
030007.jpg,2,3,3
030012.jpg,6,4,4
030017.jpg,1,2,2
030019.jpg,4,5,5
030020.jpg,2,2,2
030021.jpg,2,2,2
030030.jpg,2,2,2
030032.jpg,3,3,3
030033.jpg,2,2,2
030061.jpg,5,5,5
030062.jpg,1,1,1
030065.jpg,3,3,3
030072.jpg,2,2,2
030077.jpg,4,4,4
030078.jpg,2,2,2
030079.jpg,3,3,3
030085.jpg,6,7,7
030093.jpg,3,3,3
030100.jpg,2,2,2
030101.jpg,4,4,4
030104.jpg,5,4,4
030108.jpg,1,1,1
030113.jpg,1,2,2
030114.jpg,1,2,2
030116.jpg,4,2,2
030124.jpg,2,3,3
030125.jpg,1,1,1
030126.jpg,4,4,4
030132.jpg,4,5,5
030135.jpg,1,1,1
030139.jpg,4,2,2
030157.jpg,4,2,2
030159.jpg,3,4,4
030164.jpg,1,1,1
030165.jpg,7,6,6
030168.jpg,1,1,1
030172.jpg,3,3,3
030197.jpg,6,7,7
030199.jpg,1,1,1
030213.jpg,1,2,2
030219.jpg,3,3,3
030225.jpg,1,1,1
030226.jpg,1,1,1
030227.jpg,4,4,4
030244.jpg,2,2,2
030248.jpg,3,2,2
030249.jpg,6,4,4
030255.jpg,2,2,2
030264.jpg,4,4,4
030265.jpg,1,1,1
030274.jpg,5,5,5
030278.jpg,2,2,2
030279.jpg,3,4,4
030282.jpg,1,2,2
030295.jpg,5,3,3
030296.jpg,1,2,2
030297.jpg,3,4,4
030302.jpg,3,3,3
030311.jpg,2,2,2
030312.jpg,7,7,7
030317.jpg,2,3,3
030318.jpg,7,6,6
030324.jpg,3,5,5
030325.jpg,3,3,3
030326.jpg,1,3,3
030331.jpg,6,7,7
030342.jpg,4,5,5
030349.jpg,2,1,1
030361.jpg,3,3,3
030372.jpg,1,2,2
030388.jpg,2,2,2
030393.jpg,1,1,1
030396.jpg,1,1,1
030402.jpg,2,2,2
030403.jpg,2,3,3
030406.jpg,1,1,1
030407.jpg,3,3,3
030408.jpg,4,4,4
030409.jpg,1,2,2
030410.jpg,3,3,3
030412.jpg,5,5,5
030419.jpg,1,1,1
030424.jpg,4,4,4
030437.jpg,4,5,5
030439.jpg,1,1,1
030441.jpg,2,3,3
030443.jpg,1,1,1
030450.jpg,6,5,5
030455.jpg,3,3,3
030462.jpg,4,4,4
030471.jpg,3,4,4
040003.jpg,7,7,7
040014.jpg,3,4,4
040017.jpg,5,5,5
040019.jpg,2,2,2
040020.jpg,4,5,5
040021.jpg,3,3,3
040023.jpg,5,5,5
040024.jpg,6,5,5
040042.jpg,3,4,4
040044.jpg,4,4,4
040047.jpg,4,5,5
040048.jpg,3,4,4
040050.jpg,4,4,4
040059.jpg,2,2,2
040064.jpg,2,2,2
040066.jpg,2,3,3
040094.jpg,2,2,2
040097.jpg,1,2,2
040098.jpg,2,2,2
040102.jpg,10,8,8
040104.jpg,6,4,4
040129.jpg,4,4,4
040135.jpg,4,3,3
040146.jpg,7,8,8
040149.jpg,2,4,4
040152.jpg,3,4,4
040158.jpg,3,3,3
040161.jpg,3,4,4
040164.jpg,1,1,1
040168.jpg,3,4,4
040170.jpg,9,8,8
040172.jpg,5,4,4
040175.jpg,1,1,1
040177.jpg,4,5,5
040179.jpg,3,3,3
040188.jpg,4,4,4
040192.jpg,3,3,3
040201.jpg,4,5,5
040202.jpg,2,2,2
040205.jpg,2,2,2
040214.jpg,2,3,3
040221.jpg,4,5,5
040225.jpg,4,4,4
040232.jpg,7,8,8
040244.jpg,5,5,5
040247.jpg,2,2,2
040254.jpg,4,4,4
040263.jpg,5,5,5
040269.jpg,5,5,5
040276.jpg,4,3,3
040278.jpg,4,3,3
040281.jpg,3,4,4
040296.jpg,1,1,1
040301.jpg,12,10,10
040304.jpg,4,4,4
040305.jpg,7,6,6
040310.jpg,5,4,4
040323.jpg,4,4,4
040325.jpg,3,2,2
040326.jpg,2,2,2
040329.jpg,5,4,4
040330.jpg,2,2,2
040334.jpg,3,2,2
040336.jpg,1,1,1
040337.jpg,4,6,6
040339.jpg,3,3,3
040342.jpg,2,1,1
040344.jpg,1,2,2
040350.jpg,1,1,1
040356.jpg,3,3,3
040367.jpg,3,3,3
040373.jpg,3,3,3
040377.jpg,4,5,5
040386.jpg,4,4,4
040389.jpg,5,4,4
040393.jpg,2,2,2
040394.jpg,4,5,5
040398.jpg,4,3,3
040399.jpg,2,2,2
040404.jpg,4,5,5
040405.jpg,2,3,3
040424.jpg,4,4,4
040448.jpg,3,3,3
040449.jpg,5,3,3
040458.jpg,4,3,3
040462.jpg,3,4,4
040469.jpg,1,2,2
040475.jpg,8,8,8
050011.jpg,2,2,2
050015.jpg,6,5,5
050025.jpg,2,2,2
050038.jpg,4,4,4
050049.jpg,1,1,1
050050.jpg,5,4,4
050051.jpg,5,6,6
050056.jpg,1,1,1
050059.jpg,3,4,4
050061.jpg,2,2,2
050065.jpg,6,7,7
050069.jpg,6,6,6
050073.jpg,4,5,5
050096.jpg,6,6,6
050103.jpg,1,1,1
050111.jpg,4,5,5
050125.jpg,2,1,1
050132.jpg,2,2,2
050135.jpg,3,4,4
050139.jpg,4,4,4
050144.jpg,3,3,3
050149.jpg,4,6,6
050152.jpg,2,2,2
050153.jpg,3,4,4
050155.jpg,3,3,3
050159.jpg,3,3,3
050184.jpg,5,6,6
050189.jpg,2,2,2
050190.jpg,5,6,6
050191.jpg,1,2,2
050194.jpg,3,4,4
050196.jpg,4,5,5
050200.jpg,3,3,3
050202.jpg,1,1,1
050207.jpg,5,4,4
050208.jpg,2,3,3
050210.jpg,1,1,1
050214.jpg,3,4,4
050217.jpg,4,3,3
050224.jpg,5,6,6
050226.jpg,4,5,5
050227.jpg,3,2,2
050234.jpg,5,4,4
050239.jpg,2,3,3
050240.jpg,3,3,3
050243.jpg,5,5,5
050245.jpg,5,7,7
050256.jpg,4,5,5
050260.jpg,1,2,2
050265.jpg,6,8,8
050270.jpg,3,3,3
050272.jpg,4,5,5
050274.jpg,3,4,4
050276.jpg,1,1,1
050277.jpg,6,5,5
050299.jpg,3,3,3
050300.jpg,4,4,4
050305.jpg,3,3,3
050313.jpg,3,3,3
050315.jpg,4,5,5
050319.jpg,1,2,2
050322.jpg,3,2,2
050325.jpg,2,3,3
050336.jpg,5,5,5
050337.jpg,6,5,5
050345.jpg,6,5,5
050346.jpg,3,3,3
050356.jpg,1,1,1
050362.jpg,4,5,5
050364.jpg,1,1,1
050371.jpg,2,3,3
050374.jpg,2,2,2
050375.jpg,6,7,7
050378.jpg,4,4,4
050384.jpg,5,6,6
050394.jpg,5,5,5
050398.jpg,2,3,3
050399.jpg,4,4,4
050408.jpg,8,6,6
050410.jpg,6,5,5
050426.jpg,2,2,2
060003.jpg,6,3,3
060011.jpg,2,4,4
060017.jpg,3,4,4
060018.jpg,3,3,3
060022.jpg,3,4,4
060025.jpg,5,5,5
060030.jpg,7,6,6
060033.jpg,6,6,6
060042.jpg,3,3,3
060048.jpg,3,3,3
060050.jpg,2,3,3
060051.jpg,6,5,5
060060.jpg,3,2,2
060061.jpg,6,8,8
